sede_id,secciones_desc_castellano,correo_electronico
EEGIP,Agregaduría  Militar,secregipto@gmail.com
EHILE,Agregaduria  Militar,  agremilchile@ejercito.mil.ar
EEEUU,Agregaduria  Naval,ageu@ara.mil.ar
EHILE,Agregaduría  Naval,agch@armada.mil.ar
EFILI,Ana  Clara  Pianezza  ,comercial_efili@cancilleria.gob.ar
EFILI,Andrea  Silvina  Repetti,efili@cancilleria.gob.ar
CNYOR,Asistencia  a  Argentinos  en  el  Exterior,informes@cnyor.com
CHONG,Asuntos  Consulares,chong@mrecic.gov.ar
ETUNE,Asuntos  Culturales  ,etune@cancilleria.gob.ar
ENIGE,Asuntos  Culturales  y  Prensa,enige@mrecic.gov.ar
EFRUS,Asuntos  Estratégicos,efrus@cancilleria.gob.ar
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat),ekeny@cancilleria.gob.ar
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)",embargviena@embargviena.at;  argentinanuclear@embargviena.at
ETRIA,Asuntos  ONUAEE,etria@mrecic.gov.ar;  embargviena@embargviena.at
ETRIA,Asuntos  ONUDD,etria@mrecic.gov.ar;  embargviena@embargviena.at
ETRIA,Asuntos  ONUDI,etria@mrecic.gov.ar;  embargviena@embargviena.at
ECEUR,Cancillería,eceur@cancilleria.gob.ar
CNYOR,Comunidad  argentina  y  diplomacia  pública,cnyor@mrecic.gov.ar
ECEUR,Consejería  Agrícola,gmfunes@magyp.gob.ar
EEEUU,Consejería  Agrícola,josemolina@embassyofargentina.us
EBRAS,Consejería  Agrícola,jdufourquet@consejeria-brasil.org
CPCAR,Cónsul  Adjunto,cpcar@mrecic.gov.ar
CMIAM,Cónsul  General  Adjunto,cmiam@mrecic.gov.ar
EKENY,Consular  ,consulkenya@cancilleria.gob.ar
CGUAY,CONSULAR,cguay@cancilleria.gov.ar
EBOLV,Contabilidad  y  Administración.,svc@mrecic.gov.ar
EJAPO,Cooperación,ejapo@mrecic.gov.ar
EHAIT,Cooperación  Internacional,ehait@cancilleria.gob.ar
ETUNE,Cooperación  Internacional,etune@mrecic.gov.ar  (correo  inst.)
EKENY,Cultural,ekeny@cancilleria.gob.ar
ESALV,Cultural,esalv@mrecic.gov.ar
EKENY,Económica  -  Comercial,comercialkenya@cancilleria.gob.ar
ERUNI,Económica  y  Comercial,eruni@mrecic.gov.ar
ERUNI,Económica  y  Comercial,eruni@mrecic.gov.ar
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  ,osb@mrecic.gov.ar
ESSED,Embajadora,essed@mrecic.gov.ar
ESSED,Jefa  de  Cancillería,essed@mrecic.gov.ar
EALEM,Jefa  de  Cancillería,ealem@cancilleria.gob.ar
ESSED,Jefa  de  Sección  Secretaría  y  Despacho,essed@mrecic.gov.ar
ESUIZ,Jefe  de  Cancillería,esuiz@cancilleria.gob.ar
ECANA,Jefe  de  Cancillería,ecana@cancilleria.gob.ar
EBELG,Jefe  de  Cancillería,ebelg@cancilleria.gob.ar
ETUNE,Jefe  de  Cancillería,etune@mrecic.gov.ar  (correo  inst.)
EINDI,Jefe  de  Cancilleria,eindi@mrecic.gov.ar
EFRAN,Jefe  de  Cancillería,efran@cancilleria.gob.ar
EQATR,Jefe  de  Cancillería,eqatr@mrecic.gov.ar
EFRUS,Jefe  de  Cancillería,efrus@cancilleria.gob.ar
EEEUU,Jefe  de  Cancillería,dbg@embassyofargentina.us
EPORT,JEFE  DE  CANCILLERIA,eport@cancilleria.gob.ar
ETAIL,Jefe  de  Cancillería,etail@cancilleria.gob.ar
EUNGR,Jefe  de  Cancillería,  eungr@mrecic.gov.ar      
EMOZA,Jefe  de  Cancillería,emoza@mrecic.gov.ar
ECHIN,Jefe  de  Cancilleria,echin@cancilleria.gob.ar
ENIGE,Jefe  de  Cancillería,enige@mrecic.gov.ar
EURUG,Jefe  de  Cancillería,eurug@mrecic.gov.ar
EPNMA,Jefe  de  Cancillería,epnma@mrecic.gov.ar
EITAL,Jefe  de  Cancillería,eital@mrecic.gov.ar
ECOLO,Jefe  de  Cancillería,ecolo@cancilleria.gob.ar
EHILE,Jefe  de  Cancillería,privadacancilleria_ehile@mrecic.gov.ar
EBRAS,Jefe  de  Cancillería,ebras@mrecic.gob.ar
EPERU,Jefe  de  Cancillería,eperu@mrecic.gov.ar
EBARB,Jefe  de  Cancillería,ebarb@cancilleria.gob.ar
EMEXI,Jefe  de  Misión,privada-emexi@mrecic.gov.ar
EESPA,Jefe  de  Misión  Adjunto,eespa@mrecic.gov.ar
EPORT,JEFE  DE  SECCIÓN  CONSULAR,seconeport@mrecic.gov.ar
EPORT,JEFE  DE  SECCIÓN  CULTURAL,eport@cancilleria.gob.ar
EPORT,JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL,eport@cancilleria.gob.ar
EFILI,Josefina  Marcela  Gallo  Morando,embajada_efili@mrecic.gov.ar
EFILI,Mauricio  Germán  Muñoz,secon_efili@mrecic.gov.ar
EBOLV,Misión  Naval  Argentina,misionsecretaria@hotmail.com
EBOLV,"Mujeres, Género, Diversidad  y  Medio  Ambiente",igw@mrecic.gov.ar
EMEXI,Negociaciones  Económicas  Bilaterales,comercial-emexi@mrecic.gov.ar
DITIC,nueva,ditic@mrecic.gov.ar
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad",eital@mrecic.gov.ar
EFRAN,Oficina  Turismo,0
EJAPO,Política,ejapo@cancilleria.gob.ar
EKENY,Política  y  Cooperación    ,ekeny@cancilleria.gob.ar
ESALV,Prensa,esalv@mrecic.gov.ar
EEEUU,Prensa,euz@embassyofargentina.us
ETUNE,Prensa,etune@mrecic.gov.ar  (correo  inst.)
CNYOR,Promoción  Cultural,culturales@cnyor.com
ERUNI,Protocolo,eruni@mrecic.gov.ar
EPBAJ,Rep.  Permanente  OPAQ,epbaj@cancilleria.gob.ar
EESPA,Representante  Ministerio  de  Desarrollo  Productivo,eespa@mrecic.gov.ar
EHILE,Residencia  Oficial,ehile@cancilleria.gob.ar
ETRIN,Sección,etrin@mrecic.gov.ar
EALEM,Sección  Administración,ealem@cancilleria.gob.ar
EDOMI,Sección  Administración,admin_edomi@mrecic.gov.ar
CMIAM,Sección  Administración,administracion_cmiam@cancilleria.gob.ar
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario",essed@mrecic.gov.ar
EBARB,Sección  Administrativa,0
EKUWA,Sección  Administrativa,ekuwa@mrecic.gov.ar
ECANA,Sección  Administrativa,administracionecana@cancilleria.gob.ar
ESING,Sección  Administrativa,esing@mrecic.gob.ar
EMARR,Sección  Administrativa,emarr@cancilleria.gob.ar
CGTEL,Sección  Administrativa,0
CBARC,Sección  Administrativa,administracion_cbarc@mrecic.gov.ar
EFRAN,Sección  Administrativa,efran@cancilleria.gob.ar
EITAL,Sección  Administrativa,eital@cancilleria.gob.ar
CSCRS,Sección  Administrativa,cscrs@cancilleria.gob.ar
ECHIN,Sección  Administrativa,echin@mrecic.gov.ar
EEGIP,Sección  Administrativa,amd_eegip@mrecic.gov.ar
CFRAN,Sección  Administrativa,cfran@cancilleria.gob.ar
EVENE,Sección  Administrativa,administracion_evene@mrecic.gov.ar
EDINA,Sección  Administrativa,edina@mrecic.gov.ar
EUNGR,Sección  Administrativa,  eungr@mrecic.gov.ar      
EARME,Sección  Administrativa,admin_earme@mrecic.gov.ar
EANGO,Sección  Administrativa,admin@mrecic.gov.ar
ESAFR,Sección  Administrativa,esafr@mrecic.gov.ar
EHOND,Sección  administrativa,ehond@cancilleria.gob.ar
EPERU,Sección  Administrativa,eperu@cancilleria.gob.ar
EAUST,Sección  Administrativa,eaust@cancilleria.gob.ar
EARGE,Sección  Administrativa,paq@mrecic.gov.ar
ECUBA,Sección  Administrativa,ecuba@mrecic.gov.ar
EGREC,Sección  Administrativa,egrec@cancilleria.gob.ar
CSIDN,Sección  Administrativa,csidn@mrecic.gov.ar
EQATR,Seccion  Administrativa,admin_eqatr@mrecic.gov.ar
ECOLO,Sección  Administrativa,administracion_ecolo@cancilleria.gob.ar
EHILE,Sección  Administrativa,administracion_ehile@mrecic.gov.ar
ENIGE,Sección  Administrativa,enige@cancilleria.gob.ar
ESURI,Sección  Administrativa,0
ECEUR,Sección  Administrativa,eceur@cancilleria.gob.ar
ESERB,Sección  Administrativa,eserb@mrecic.gov.ar
CMILA,Sección  Administrativa  -  Titular:  ,cmila@cancilleria.gob.ar
ELBNO,Sección  Administrativa  Contable,contable_elbno@cancilleria.gob.ar
CRECI,Sección  Administrativa  y  Contable,adm_creci@mrecic.gov.ar
EFRUS,Sección  Administrativa  y  Logística,adm_efrus@cancilleria.gob.ar
EEEUU,Sección  Administrativa  y  Recursos  Humanos,administracion@embassyofargentina.us
EESPA,Sección  Administrativa  y  Recursos  Humanos,administracion.argenesp@mrecic.gov.ar
EMEXI,Sección  Administrativa  y  Recursos  Humanos  ,administracion-emexi@mrecic.gov.ar
EINDI,Sección  Agrícola,eindi@mrecic.gov.ar
ETRIA,Sección  Bilateral,bilaterales@embargviena.at
EAUST,Sección  Ciencia  y  Tecnología,eaust@mrecic.gov.ar
EMEXI,Sección  Comercial,comercial-emexi@mrecic.gov.ar
EEGIP,Sección  Comercial,comercial_eegip@mrecic.gov.ar
EDINA,Sección  Comercial,edina@mrecic.gov.ar
EURUG,Sección  Comercial,comercial_eurug@mrecic.gov.ar
EQATR,Sección  Comercial,eqatr@mrecic.gov.ar
CURUG,Sección  Comercial,comercial_curug@mrecic.gov.ar
EPOLO,Sección  Comercial,secom.epolo@mrecic.gov.ar
EHOND,Sección  Comercial,ehond@cancilleria.gob.ar
ETRIA,Sección  Comercial,comercio@embargviena.at
ESALV,Sección  Comercial  e  Inversiones,scomercial.esalv@mrecic.gov.ar
CMIAM,Sección  Comercial  e  Inversiones,comercial_cmiam@mrecic.gov.ar
CSIDN,Sección  Comercial  y  Cultural,csidn@mrecic.gov.ar
EFINL,Sección  Comercial  y  de  Inversiones,comercial_efinl@cancilleria.gob.ar
CBARC,"Sección  Comercial, Turismo  e  Inversiones",comercial_cbarc@mrecic.gov.ar
EAUST,Sección  Comercio  e  Inversiones,trade_eaust@mrecic.gov.ar
EFRUS,Sección  Concurrencias,efrus@cancilleria.gob.ar
EBARB,Sección  Consular,ebarb@cancilleria.gob.ar
CGMUM,Sección  Consular,consular_cgmum@mrecic.gov.ar
CRIOJ,Sección  Consular,crioj@cancilleria.gob.ar
ESING,Sección  Consular,secon_esing@mrecic.gob.ar
EETIO,Sección  Consular,eetio@mrecic.gov.ar
EALEM,Sección  Consular,consulado_ealem@cancilleria.gob.ar
CGTEL,Sección  Consular,cgtel@cancilleria.gob.ar
ENORU,Sección  Consular,consular.enoru@mrecic.gov.ar
EBRAS,Sección  Consular,secon_ebras@mrecic.gob.ar
ECORE,Sección  Consular,ecorecon@mrecic.gov.ar
EFRUS,Sección  Consular,secon_efrus@cancilleria.gob.ar
EARGE,Sección  Consular,consularesearge@mrecic.gob.ar
ECOLO,Sección  Consular,consulares_ecolo@cancilleria.gov.ar
EJAMA,Sección  Consular  ,ejama@mrecic.gov.ar
EECUA,Sección  Consular,consulares-eecua@mrecic.gov.ar
EVIET,Sección  Consular,consulareviet@mrecic.gov.ar
EARME,Sección  Consular,consularearme@mrecic.gov.ar
EDOMI,Sección  Consular,consular_edomi@cancilleria.gov.ar
ENZEL,Sección  Consular,enzel@cancilleria.gob.ar
EKUWA,Sección  Consular,ekuwa@cancilleria.gob.ar
ERUMA,Sección  Consular,0
EASIR,Sección  Consular,consular_easir@cancilleria.gob.ar
ETUNE,Sección  Consular,secon_etune@cancilleria.gob.ar
EEEUU,Sección  Consular,consular@embassyofargentina.us
EIRLA,Sección  Consular,secon_eirla@mrecic.gov.ar
EGREC,Sección  Consular,egrec@cancilleria.gob.ar
EQATR,Sección  Consular,secon_eqatr@mrecic.gov.ar
EVENE,Sección  Consular,consular_evene@mrecic.gov.ar
EEGIP,Sección  Consular,consular_eegip@mrecic.gov.ar
EFINL,Sección  Consular,consular_efinl@cancilleria.gob.ar
EHAIT,Sección  Consular,ehait@cancilleria.gob.ar
EDINA,Sección  Consular,edina@mrecic.gov.ar
CNYOR,Sección  Consular,informes@cnyor.com
ESERB,Sección  Consular,eserb@cancilleria.gob.ar
EANGO,Sección  Consular,sconsular.eango@mrecic.gov.ar
ECHES,Sección  Consular,eches@cancilleria.gob.ar
ETURQ,Sección  Consular,consulares_eturq@mrecic.gov.ar
CCHIC,Sección  Consular,cchic@mrecic.gov.ar
EPAKI,Sección  Consular,consular_epaki@cancilleria.gob.ar
CSCRS,Sección  Consular,cscrs@cancilleria.gob.ar
EBELG,Sección  Consular,consulares_ebelg@cancilleria.gob.ar
EEARB,Sección  Consular,consular_eearb@mrecic.gov.ar
CVIGO,Sección  Consular,cvigo@cancilleria.gob.ar
ESUEC,Sección  Consular,consulares_esuec@mrecic.gov.ar
EPBAJ,Sección  Consular,consular_epbaj@mrecic.gov.ar
CSIDN,Sección  Consular,csidn@mrecic.gov.ar
CFRAN,Sección  Consular,cfran@cancilleria.gob.ar
EMSIA,Sección  Consular,consular_emsia@mrecic.gov.ar
EPNMA,Sección  Consular,consuladopanama@cancilleria.gob.ar
EUNGR,Sección  Consular,eungr@mrecic.gov.ar    
CTORO,SECCION  CONSULAR,consular_ctoro@mrecic.gov.ar
EISIA,Sección  Consular,consulares_eisia@mrecic.gov.ar
ESURI,Sección  Consular,esuri@cancilleria.gob.ar
EHOND,Sección  Consular,consulares_ehond@mrecic.gov.ar
EFRAN,Sección  Consular,secon_efran@mrecic.gov.ar
EIRAN,Sección  Consular,eiran@mrecic.gob.ar
EGUAT,Sección  Consular,consular-eguat@mrecic.gov.ar
CSHAN,Sección  Consular,cshan@mrecic.gov.ar
EJAPO,Sección  Consular,consulares_ejapo@mrecic.gov.ar
EUCRA,Sección  Consular,secon_eucra@mrecic.gov.ar
ERICA,Sección  Consular,consulares_erica@mrecic.gov.ar
CRECI,Sección  Consular,creci@mrecic.gov.ar
EMOZA,Sección  Consular,emoza@mrecic.gov.ar
CPABL,Sección  Consular,cpablconsular@mrecic.gov.ar
ETAIL,Sección  Consular,secon_etail@mrecic.gov.ar
ETRIA,Sección  Consular,consular-etria@mrecic.gov.ar
ESALV,Sección  Consular  ,sconsular.esalv@mrecic.gov.ar  
ESUIZ,Sección  Consular,esuiz@cancilleria.gob.ar
EAZER,Sección  Consular,eazer@mrecic.gov.ar
ELBIA,Sección  Consular,0
ELBNO,Sección  Consular,libano@mrecic.gov.ar
EMARR,Sección  Consular,emarr@cancilleria.gov.ar
ENICA,SECCION  CONSULAR,enica@mrecic.gov.ar
ECUBA,Sección  Consular,consulares_ecuba@cancilleria.gob.ar
CMILA,Sección  Consular  -  Cónsul  Adjunto  Agustín  Busignani  ,cmila@cancilleria.gov.ar
CBARC,Sección  Consular  (Asistencia  al  ciudadano/Visas),tramites_cbarc@cancilleria.gob.ar
CMIAM,Sección  Consular  (Documentación),dnipas_cmiam@cancilleria.gov.ar
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales),tramites_cbarc@cancilleria.gob.ar
ECHIN,Sección  Consular  (Ir  a  Consulados),consuladoechin@cancilleria.gob.ar  (TURNOS  VISAS)
CMIAM,Sección  Consular  (Notariales),notariales_cmiam@cancilleria.gov.ar
CBARC,Sección  Consular  (Opción  de  Nacionalidad/Notariales/Itinerancias),tramites_cbarc@cancilleria.gob.ar
CMIAM,Sección  Consular  (Trámites  generales),cmiam@mrecic.gov.ar
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos),visas_cmiam@mrecic.gov.ar
EPOLO,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia,secons.epolo@mrecic.gov.ar
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria,consulares_enige@mrecic.gov.ar
CMILA,Sección  Consular:  Cónsul  Adjunto  Lara  Fazzolari,cmila@mrecic.gov.ar
EANGO,Sección  Cooperación,eango@mrecic.gov.ar
ECUBA,Sección  Cooperación,ecuba@mrecic.gov.ar
EBARB,Sección  Cooperación  Internacional,ebarb@cancilleria.gob.ar
EFRAN,Sección  Cooperación  Internacional,coop_efran@mrecic.gov.ar
EALEM,Sección  Cooperación  Internacional,cooperacion_ealem@cancilleria.gob.ar
ESSED,Sección  Cultura,essed@mrecic.gov.ar
EESPA,"Sección  Cultura, Educación  y  Protocolo",educacion.argenesp@mrecic.gov.ar
CBARC,"Sección  Cultura, Educación  y  Redes  Sociales",cultura_cbarc@cancilleria.gob.ar
CTORO,SECCION  CULTURAL,cultural_ctoro@mrecic.gov.ar
CSCRS,Seccion  Cultural,cscrs@mrecic.gov.ar
EMEXI,Sección  Cultural,cultural_emexi@mrecic.gov.ar
ECANA,Sección  Cultural,culturalecana@cancilleria.gob.ar
CRIOJ,Sección  Cultural,cultural_crioj@cancilleria.gob.ar
EALEM,Sección  Cultural,cultural_ealem@cancilleria.gob.ar
EETIO,Sección  Cultural,eetio@mrecic.gov.ar
ENORU,Sección  Cultural,cultural.enoru@cancilleria.gob.ar
EECUA,Sección  Cultural,culturales-eecua@cancilleria.gov.ar
EAUST,Seccion  Cultural,eaust@mrecic.gov.ar
EARGE,Sección  Cultural,earge@cancilleria.gob.ar
EISIA,Sección  Cultural,culturales_eisia@mrecic.gov.ar
EKUWA,Sección  Cultural,ekuwa@cancilleria.gob.ar
EIRLA,Sección  Cultural,cultural_eirla@mrecic.gov.ar
EVENE,Sección  Cultural,cultural_evene@mrecic.gov.ar
EEGIP,Sección  Cultural,cultural_eegip@cancilleria.gob.ar
EDINA,Sección  Cultural,edina@mrecic.gov.ar
EUNGR,Sección  Cultural,  eungr@mrecic.gov.ar      
EHAIT,Sección  Cultural,ehait@cancilleria.gob.ar
EMOZA,Sección  Cultural,emoza@mrecic.gov.ar
ECHES,Sección  Cultural,eches-cultural@cancilleria.gob.ar
EURUG,Sección  Cultural,cultural_eurug@mrecic.gov.ar
ETURQ,Sección  Cultural,eturq@cancilleria.gob.ar
ECUBA,Sección  Cultural,ecuba@mrecic.gov.ar
EJAMA,Sección  Cultural,ejama@mrecic.gov.ar
CVIGO,Sección  Cultural,cvigo@cancilleria.gob.ar
CFRAN,Sección  Cultural,cfran@cancilleria.gob.ar
CRECI,Sección  Cultural  ,creci@mrecic.gov.ar
EJAPO,Sección  Cultural  ,culturales_ejapo@mrecic.gov.ar
ERUNI,Sección  Cultural,culture@argentine-embassy-uk.org
CMIAM,Sección  Cultural,cultural_cmiam@cancilleria.gob.ar
ELBNO,Sección  Cultural,elbno@mrecic.gov.ar
EBRAS,Sección  Cultural,cultura_ebras@cancilleria.gob.ar
EPOLO,Sección  Cultural,cultura.epolo@mrecic.gov.ar
EHILE,Sección  Cultural,culturales_ehile@mrecic.gov.ar
CSHAN,Sección  Cultural  ,cshan@mrecic.gov.ar
EGREC,Sección  Cultural,egrec@cancilleria.gob.ar
EBELG,Sección  Cultural,cultura_ebelg@cancilleria.gob.ar
ESURI,Sección  Cultural,0
EFRAN,Sección  Cultural,cultura_efran@mrecic.gov.ar
ETRIA,Sección  Cultural,cultura@embargviena.at
ESUIZ,Sección  Cultural,esuiz@cancilleria.gob.ar
EAZER,Sección  Cultural,eazer@mrecic.gov.ar
ETAIL,Sección  Cultural,etail@mrecic.gov.ar
EMARR,Sección  Cultural,emarr@cancilleria.gov.ar
EUCRA,Sección  Cultural,cultura_eucra@mrecic.gov.ar
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública,sei@embassyofargentina.us
ESUEC,Sección  Cultural  y  de  Prensa,esuec@cancilleria.gob.ar
EBARB,Sección  Cultural  y  Prensa,ebarb@cancilleria.gob.ar
EANGO,Sección  Cultural  y  Prensa,eango@mrecic.gov.ar
EPERU,"Sección  Cultural, Educación  y  Prensa",cultural_eperu@mrecic.gov.ar
ECORE,"Sección  Cultural, Educación  y  Turismo",ecoreedu@mrecic.gov.ar
ESERB,"Sección  Cultural, Educación  y  Turismo",eserb@cancilleria.gob.ar
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  ",cultura_eital@mrecic.gov.ar
ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial",cultural_ecolo@cancilleria.gov.ar
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública",esafr@cancilleria.gob.ar
EBOLV,"Sección  Cultural, Prensa, Educación, Derechos  Humanos  y  de  Cooperación  Técnica",sxn@mrecic.gov.ar
ETRIA,Sección  de  Administración,administracion@embargviena.at
CGMUM,Sección  de  Administración,cgmum@mrecic.gov.ar
ECORE,Sección  de  Administración  ,ecoreadm@mrecic.gov.ar
EAZER,Sección  de  Administración,eazer@mrecic.gov.ar
EMOZA,Sección  de  Administración  y  Finanzas,emoza@mrecic.gov.ar
EITAL,Sección  de  Cooperación  Internacional,eital@mrecic.gov.ar
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria,emoza@mrecic.gov.ar
EPERU,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género,eperu@mrecic.gov.ar
ETRIA,Sección  de  Cooperación  Jurídica,etria@mrecic.gov.ar;  embargviena@embargviena.at
EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva",cult_efrus@cancilleria.gob.ar
ETRIA,Sección  de  DDHH  y  Género,bilaterales@embargviena.at
EITAL,"Sección  de  Diplomacia  Pública, Comunicación  y  Prensa",eital@mrecic.gov.ar
EALEM,Sección  de  Prensa,prensa_ealem@cancilleria.gob.ar
EHAIT,Sección  de  Prensa,ehait@cancilleria.gob.ar
EMEXI,Sección  de  Prensa,prensa-emexi@mrecic.gov.ar
EMOZA,Sección  de  Prensa  y  Difusión,emoza@mrecic.gov.ar
EFRUS,Sección  de  Prensa  y  Difusión,prensa.efrus@cancilleria.gob.ar
EITAL,Sección  de  Promoción  Comercial  y  Turismo,eital@mrecic.gov.ar
CSHAN,Sección  Deportiva,cshan@mrecic.gov.ar
EPAKI,Sección  Económica,secom_epaki@mrecic.gov.ar
EJAPO,Sección  Económica  -  Comercial  ,comercial_ejapo@mrecic.gov.ar
EESPA,Sección  Económica  -  Comercial,ecocomercial.argenesp@mrecic.gov.ar
ELBNO,Sección  Económica  -  Comercial  e  Inversiones,comercial_elbno@mrecic.gov.ar
ELBIA,Sección  Económica  Comercial,0
EIRLA,Sección  Económica  y    Comercial,comercial_eirla@mrecic.gov.ar
ESERB,Sección  Económica  y  Comercial,eserb@mrecic.gov.ar
EBARB,Sección  Económica  y  Comercial,ebarb@cancilleria.gob.ar
ECEUR,Sección  Económica  y  Comercial,eceur@cancilleria.gob.ar
CGMUM,Sección  Económica  y  Comercial,cgmum@mrecic.gov.ar
EGREC,Sección  Económica  y  Comercial,egrec@cancilleria.gob.ar
CRIOJ,Sección  Económica  y  Comercial,comercialrio@cancilleria.gob.ar
EETIO,Sección  Económica  y  Comercial,eetio@mrecic.gov.ar
EALEM,Sección  Económica  y  Comercial,economia_ealem@cancilleria.gob.ar
ECHIN,Sección  Económica  y  Comercial,echin@cancilleria.gob.ar
ENORU,Sección  Económica  y  Comercial,comercial.enoru@mrecic.gov.ar
ECORE,Sección  Económica  y  Comercial,ecorecom@mrecic.gov.ar
EFRUS,Sección  Económica  y  Comercial,secom_efrus@cancilleria.gob.ar
EARGE,Sección  Económica  y  Comercial,secom_earge@cancilleria.gob.ar
EECUA,Sección  Económica  y  Comercial,comercial_eecua@cancilleria.gov.ar
EDOMI,Sección  Económica  y  Comercial,edomi@cancilleria.gob.ar
CSCRS,Sección  Económica  y  Comercial,cscrs@cancilleria.gob.ar
ERUMA,Sección  Económica  y  Comercial,0
EMARR,Sección  Económica  y  Comercial,emarr@cancilleria.gob.ar
EEEUU,Sección  Económica  y  Comercial,econargusa@embassyofargentina.us
EKUWA,Sección  Económica  y  Comercial,ekuwa@cancilleria.gob.ar
EVENE,Sección  Económica  y  Comercial,evene@cancilleria.gob.ar
EARME,Sección  Económica  y  Comercial,comercial_earme@mrecic.gov.ar
ENZEL,Sección  Económica  y  Comercial,comercial_enzel@mrecic.gov.ar
EHAIT,Sección  Económica  y  Comercial,ehait@cancilleria.gob.ar
CNYOR,Sección  Económica  y  Comercial,comercial@cnyor.com
EANGO,Sección  Económica  y  Comercial,secom.eango@mrecic.gov.ar
